Project Name,Post URL,,,
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1924698579672891657,,,
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1924894151402807795,,Project Name,Total Posts
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1925618086461280404,,Bitcoin Victoria Falls (Zambia) 🇿🇲,33
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1926544358590845365,,BTC Shule (Burundi) 🇧🇮,23
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1927964892578959487,,Bitcoin Babies (Kenya) 🇰🇪,22
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1934479908295659993,,Bitcoin Ekasi (South Africa) 🇿🇦,21
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1935037190532104348,,Bitcoin Chama (Kenya)🇰🇪,21
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1944639764495253851,,Afribit Kibera (Kenya) 🇰🇪,21
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1939420411520749850,,Calabar Bitcoin Club (Nigeria) 🇳🇬,19
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1945937224865816883,,Bitcoin Ubuntu (South Africa) 🇿🇦,15
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1947651822937649205,,Orphans of Uganda (Uganda) 🇺🇬,14
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1947667742653616540,,Bitcoin Dua (Ghana) 🇬🇭,13
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1949362834363609270,,Bitcoin Karoo (South Africa) 🇿🇦,12
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1950997271874556024,,Bitcoin Githurai (Kenya) 🇰🇪,12
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1951157749615587788,,Simply Sow (South Africa) 🇿🇦,11
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1951193048076980340,,Soweto BTC (South Africa) 🇿🇦,9
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1951550781104025856,,Bitcoin Sisonke (South Africa) 🇿🇦,9
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1951884513048428565,,Bitcoin Anambra (Nigeria)🇳🇬,9
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1952084590757065136,,Bitcoin Kampala (Uganda) 🇺🇬,8
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1952107932264366354,,Bitcoin Plett (South Africa) 🇿🇦,6
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1954628159371972719,,Bitcoin Arusha (Tanzania) 🇹🇿,6
Bitcoin Anambra (Nigeria)🇳🇬,https://x.com/bitcoinanambra/status/1926236810306318700,,Grand Total,284
Bitcoin Anambra (Nigeria)🇳🇬,https://x.com/BitcoinAnambra/status/1926594104521265327,,,
Bitcoin Anambra (Nigeria)🇳🇬,https://x.com/BitcoinAnambra/status/1933243915475562901,,,
Bitcoin Anambra (Nigeria)🇳🇬,https://x.com/bitcoinanambra/status/1935661255328407597,,Project Name,No Submissions
Bitcoin Anambra (Nigeria)🇳🇬,https://x.com/bitcoinanambra/status/1946192954202505572,,Bitcoin Witsand (South Africa) 🇿🇦,0
Bitcoin Anambra (Nigeria)🇳🇬,https://x.com/BitcoinAnambra/status/1947624999986065489,,El Zera School (South Africa) 🇿🇦,0
Bitcoin Anambra (Nigeria)🇳🇬,https://x.com/bitcoinanambra/status/1951160969566060554,,Tofo BTC (Mozambique)🇲🇿,0
Bitcoin Anambra (Nigeria)🇳🇬,https://x.com/bitcoinanambra/status/1954882556014301478,,Volschenk Primary (South Africa) 🇿🇦,0
Bitcoin Anambra (Nigeria)🇳🇬,https://x.com/bitcoinanambra/status/1955625943101239375,,,
Bitcoin Arusha (Tanzania) 🇹🇿,https://x.com/bitcoinarusha/status/1924743605802930534,,,
Bitcoin Arusha (Tanzania) 🇹🇿,https://x.com/bitcoinarusha/status/1926485726838898719,,,
Bitcoin Arusha (Tanzania) 🇹🇿,https://x.com/bitcoinarusha/status/1929264907859427335,,,
Bitcoin Arusha (Tanzania) 🇹🇿,https://x.com/bitcoinarusha/status/1930340695396475268,,,
Bitcoin Arusha (Tanzania) 🇹🇿,https://x.com/bitcoinarusha/status/1935329865672110427,,,
Bitcoin Arusha (Tanzania) 🇹🇿,https://x.com/bitcoinarusha/status/1952780752271085588,,,
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/EMacharia67332/status/1915483325126287634,,,
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/AkundaJane85699/status/1922700640821633424,,,
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/AkundaJane85699/status/1924475583867552145,,,
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/BtcBabies/status/1925611693947986344,,,
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/Joycekoigi3816/status/1927371689156891063,,,
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/MutheeEmmah/status/1927693931162017882,,,
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/gichuhi_te33890/status/1928403244981559332,,,
