Project Name,Post URL,,,
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1894002262030049443,,,
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1900398175006990662,,Project Name,Total Posts
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1901170508722282911,,Bitcoin Chama (Kenya) 🇰🇪,14
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1901843200353894412,,Afribit Kibera (Kenya) 🇰🇪,14
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1904467181959598502,,Bitcoin Victoria Falls (Zambia) 🇿🇲,12
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1906941990639669751,,Bitcoin Dua (Ghana) 🇬🇭,12
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1892688945143509360,,Bitcoin Babies (Kenya) 🇰🇪,8
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1909100589138522525,,Calabar Bitcoin Club (Nigeria) 🇳🇬,4
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1906941990639669751,,Soweto BTC (South Africa) 🇿🇦,3
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1912186277832564857,,Grand Total,67
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1909312681171206280,,,
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1898444506921349302,,,
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1895364963642044473,,Project Name,No Submissions
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1936907692410585338,,Bitcoin Anambra (Nigeria) 🇳🇬,0
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/AnnNduati190336/status/1899146597755134225,,Bitcoin Arusha (Tanzania) 🇹🇿,0
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/joycekamaugal/status/1899040940192354711,,Bitcoin Githurai (Kenya) 🇰🇪,0
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/maryshady81/status/1899161197057814695,,Bitcoin Kampala (Uganda) 🇺🇬,0
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/EMacharia67332/status/1899887388375343315,,Bitcoin Karoo (South Africa) 🇿🇦,0
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/Joycekoigi3816/status/1899894119150858616,,Bitcoin Plett (South Africa) 🇿🇦,0
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/veronicahgache1/status/1901716088099876981,,Bitcoin Sisonke (South Africa) 🇿🇦,0
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/Joycekoigi3816/status/1911884546196328543,,Bitcoin Ubuntu (South Africa) 🇿🇦,0
Bitcoin Babies (Kenya) 🇰🇪,https://x.com/shiko_eliz86245/status/1922195467854610833,,Bitcoin Witsand (South Africa) 🇿🇦,0
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1902039466430148814,,BTC Shule (Burundi) 🇧🇮,0
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1902642984006680907,,Orphans of Uganda (Uganda) 🇺🇬,0
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1902734971246186701,,Simply Sow (South Africa) 🇿🇦,0
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1903011003702329786,,Tofo BTC (Mozambique) 🇲🇿,0
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1904096454815232429,,El Zera School (South Africa) 🇿🇦,0
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1907034998512697517,,Volschenk Primary (South Africa) 🇿🇦,0
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1909484455862874301,,,
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1907034998512697517,,,
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1909142792472866857,,,
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1909484455862874301,,,
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1910374174729568577,,,
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1910697948830122215,,,
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1910746814170407089,,,
Bitcoin Chama (Kenya) 🇰🇪,https://x.com/Bitcoinchama/status/1912003685346869685,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1897429425529954565,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1898718660123885736,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1900420540977889385,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1909722397571531009,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1910034466782794014,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1910398858850689274,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1911174948225441881,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1912243980881760636,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1915124920956441047,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1915480269769052221,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1916134716807299472,,,
Bitcoin Dua (Ghana) 🇬🇭,https://x.com/bitcoin_dua/status/1917721311222055302,,,
Bitcoin Victoria Falls (Zambia) 🇿🇲,https://x.com/BitcoinVicFalls/status/1896641252252328288,,,
