Project Name,Post URL,,,
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1958071235767599529,,,
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1962773744331477135,,Project Name,Total Posts
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1963517063286145037,,Bitbiashara (Kenya) 🇰🇪,55
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1966031822086615090,,Bitcoin Victoria Falls (Zambia) 🇿🇲,34
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1967218245041303712,,Bitcoin Githurai (Kenya) 🇰🇪,32
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1967519849879347509,,Bitcoin Chama (Kenya) 🇰🇪,32
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1968308865990099073,,Bitcoin Babies (Kenya) 🇰🇪,32
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1968732794412314960,,Afribit Kibera (Kenya) 🇰🇪,32
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1972625287067189309,,BitKwa (Nigeria) 🇳🇬,29
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1973691650959610141,,Orphans of Uganda (Uganda) 🇺🇬,27
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1976227949939429645,,Bitcoin Aves (Ghana) 🇬🇭,24
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1976525300784676874,,BitJR Academy (Zambia) 🇿🇲,23
Afribit Kibera (Kenya) 🇰🇪,https://primal.net/e/nevent1qqsqy4mhrf527dxh737yfv30sz9kk3xcqaj957306yl80mu706jylvcrl99hq,,Calabar Bitcoin Club (Nigeria) 🇳🇬,22
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1977637033263898676,,BTC Shule (Burundi) 🇧🇮,22
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1978042462879793333,,Bitcoin Karoo (South Africa) 🇿🇦,22
Afribit Kibera (Kenya) 🇰🇪,https://primal.net/e/nevent1qqst0d4unqjrr8k9f0vmfw8s3ce4xus88n39ag665hqcxgd0d8zwsdsyfpyg7,,Bitcoin Dombo (Mozambique) 🇲🇿,22
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1979468211956437474,,Bitcoin Anambra (Nigeria) 🇳🇬,22
Afribit Kibera (Kenya) 🇰🇪,https://primal.net/e/nevent1qqs83wr638gm4lnzcusuff93crlkr2tmgrhedrlvaml0l4tdu77k0ksd6j02k,,Simply Sow (South Africa) 🇿🇦,21
Afribit Kibera (Kenya) 🇰🇪,https://primal.net/e/nevent1qqsg709xu9wttraplvm0rzlq6v89mundpmf0qjt8m24w5534wcedu7sp3n3mn,,Bitcoin Plett (South Africa) 🇿🇦,21
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1983455422930461103,,Soweto BTC (South Africa) 🇿🇦,15
Afribit Kibera (Kenya) 🇰🇪,https://primal.net/e/nevent1qqsrfeqcqdpalsrdst0aaa0vtvjnnmtzh89s5wf6e6fcm37xj5wd5zqyf5l6s,,Bitcoin Ekasi (South Africa) 🇿🇦,14
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1984913518064242754,,Bitcoin Dua (Ghana) 🇬🇭,14
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1985227081051938999,,TofoBTC (Mozambique) 🇲🇿,11
Afribit Kibera (Kenya) 🇰🇪,https://primal.net/e/nevent1qqs8f5r72f23kyqstwnj3a0k3k0v2h28w3wkuq505wca3p5jqjja6scfrxsh9,,Bitcoin Witsand (South Africa) 🇿🇦,11
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1985655172270374937,,Bitcoin Sisonke (South Africa) 🇿🇦,11
Afribit Kibera (Kenya) 🇰🇪,https://primal.net/e/nevent1qqsv3gtysd3ukptskwr4yz64sjrm30cska8kk7xxdlt0a9kqua4dyrcvdq99w,,College BTC (Ghana) 🇬🇭,8
Afribit Kibera (Kenya) 🇰🇪,https://primal.net/e/nevent1qqswq80f777fpwdncdqzvln6tqdhqwvncefyhyfumrp9ql958q6r4zg865p2w,,Bit-Fitness (South Africa) 🇿🇦,5
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1988501845430407481,,Bitcoin Kampala (Uganda) 🇺🇬,3
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1988845785413243342,,Bitfiasi Initiative (Ghana) 🇬🇭,2
Afribit Kibera (Kenya) 🇰🇪,https://primal.net/e/nevent1qqst4ucrgu3s0nemg9xd4rj2zw3cm57yml6vemlya9epyvqrscrx5fgan6yru,,Bitcoin Famba (Mozambique) 🇲🇿,2
Afribit Kibera (Kenya) 🇰🇪,https://primal.net/e/nevent1qqs2q4y5q42ffenygnfp4qzyt7g7qan3xmygduwhr5uky3060lskrdsjnfxx3,,Grand Total,568
Afribit Kibera (Kenya) 🇰🇪,https://x.com/AfribitKibera/status/1989035132523802970,,,
Bit-Fitness (South Africa) 🇿🇦,https://x.com/bitfitness21m/status/1968975861970792742,,,
Bit-Fitness (South Africa) 🇿🇦,https://x.com/bitfitness21m/status/1973655751953355009,,Project Name,No Submissions
Bit-Fitness (South Africa) 🇿🇦,https://x.com/bitfitness21m/status/1975473260729860498,,Bitcoin Arusha (Tanzania) 🇹🇿,0
Bit-Fitness (South Africa) 🇿🇦,https://x.com/bitfitness21m/status/1981719156949926180,,Bitcoin Ubuntu (South Africa) 🇿🇦,0
